deciles,range,min_,max_,avg_,cnt,cnt_resp,cnt_non_resp,prob,cum_tot,cum_resp,cum_non_resp,cum_tot_pct,cum_resp_pct,cum_non_resp_pct,ks,ln odds
4,0 to 0,0,0,0,6551,539,6012,8.20%,6551,539,6012,32.80%,21.50%,34.40%,12.90%,-2.415478143
5,1 to 1,1,1,1,3255,396,2859,12.20%,9806,935,8871,49.00%,37.20%,50.70%,13.50%,-1.973625549
7,2 to 2,2,2,2,3893,512,3381,13.20%,13699,1447,12252,68.50%,57.60%,70.10%,12.50%,-1.883389792
8,3 to 3,3,3,3,464,46,418,9.90%,14163,1493,12670,70.80%,59.40%,72.40%,13.00%,-2.208385407
9,4 to 4,4,4,4,3666,595,3071,16.20%,17829,2088,15741,89.10%,83.10%,90.00%,6.90%,-1.643421765
10,5 to 10,5,10,7.0133579,2171,424,1747,19.50%,20000,2512,17488,100.00%,100.00%,100.00%,0.00%,-1.417842719
