deciles,range,min_,max_,avg_,cnt,cnt_resp,cnt_non_resp,prob,cum_tot,cum_resp,cum_non_resp,cum_tot_pct,cum_resp_pct,cum_non_resp_pct,ks,ln odds
1,0 to 0,0,0,0,750,51,699,6.80%,750,51,699,3.80%,2.00%,4.00%,2.00%,-2.61782511
2,1 to 1,1,1,1,1966,146,1820,7.40%,2716,197,2519,13.60%,7.80%,14.40%,6.60%,-2.526809141
3,2 to 2,2,2,2,2456,201,2255,8.20%,5172,398,4774,25.90%,15.80%,27.30%,11.50%,-2.415478143
4,3 to 3,3,3,3,2018,185,1833,9.20%,7190,583,6607,36.00%,23.20%,37.80%,14.60%,-2.289455802
5,4 to 4,4,4,4,2188,206,1982,9.40%,9378,789,8589,46.90%,31.40%,49.10%,17.70%,-2.265744524
6,5 to 5,5,5,5,2599,306,2293,11.80%,11977,1095,10882,59.90%,43.60%,62.20%,18.60%,-2.011507432
8,6 to 7,6,7,6.278889445,3998,619,3379,15.50%,15975,1714,14261,79.90%,68.20%,81.50%,13.30%,-1.69591151
9,8 to 13,8,13,9.001270648,787,140,647,17.80%,16762,1854,14908,83.80%,73.80%,85.20%,11.40%,-1.529956845
10,14 to 14,14,14,14,3238,658,2580,20.30%,20000,2512,17488,100.00%,100.00%,100.00%,0.00%,-1.3676487
