deciles,range,min_,max_,avg_,cnt,cnt_resp,cnt_non_resp,prob,cum_tot,cum_resp,cum_non_resp,cum_tot_pct,cum_resp_pct,cum_non_resp_pct,ks,ln odds
3,0 to 0,0,0,0,4941,510,4431,10.30%,4941,510,4431,24.70%,20.30%,25.30%,5.00%,-2.164326874
6,1 to 1,1,1,1,6659,758,5901,11.40%,11600,1268,10332,58.00%,50.50%,59.10%,8.60%,-2.050518502
8,2 to 2,2,2,2,3786,444,3342,11.70%,15386,1712,13674,76.90%,68.20%,78.20%,10.00%,-2.021151266
9,3 to 3,3,3,3,1964,260,1704,13.20%,17350,1972,15378,86.80%,78.50%,87.90%,9.40%,-1.883389792
10,4 to 15,4,15,6.617735849,2650,540,2110,20.40%,20000,2512,17488,100.00%,100.00%,100.00%,0.00%,-1.361479192
