"deciles","range","min_","max_","avg_","cnt","cnt_resp","cnt_non_resp","prob","cum_tot","cum_resp","cum_non_resp","cum_tot_pct","cum_resp_pct","cum_non_resp_pct","ks"
8,"0 to 22772",0,22772,436.544346521658,15999,1798,14201,"11.2%",15999,1798,14201,"80%","71.6%","81.2%","9.6%"
9,"23014 to 109392",23014,109392,66849.251874063,2001,328,1673,"16.4%",18000,2126,15874,"90%","84.6%","90.8%","6.2%"
10,"109425 to 199667",109425,199667,153872.231,2000,386,1614,"19.3%",20000,2512,17488,"100%","100.0%","100.0%","0.0%"
