"deciles","range","min_","max_","avg_","cnt","cnt_resp","cnt_non_resp","prob","cum_tot","cum_resp","cum_non_resp","cum_tot_pct","cum_resp_pct","cum_non_resp_pct","ks"
9,"0 to 0",0,0,0,17788,2139,15649,"12.0%",17788,2139,15649,"88.9%","85.2%","89.5%","4.3%"
10,"1 to 1",1,1,1,2212,373,1839,"16.9%",20000,2512,17488,"100.0%","100.0%","100.0%","0.0%"
