"deciles","range","min_","max_","avg_","cnt","cnt_resp","cnt_non_resp","prob","cum_tot","cum_resp","cum_non_resp","cum_tot_pct","cum_resp_pct","cum_non_resp_pct","ks"
6,"0 to 0",0,0,0,10141,1312,8829,"12.9%",10141,1312,8829,"50.7%","52.2%","50.5%","1.7%"
10,"1 to 1",1,1,1,9859,1200,8659,"12.2%",20000,2512,17488,"100.0%","100.0%","100.0%","0.0%"
