"deciles","range","min_","max_","avg_","cnt","cnt_resp","cnt_non_resp","prob","cum_tot","cum_resp","cum_non_resp","cum_tot_pct","cum_resp_pct","cum_non_resp_pct","ks"
6,"0 to 61667",0,61667,3600.40960580048,11999,1350,10649,"11.3%",11999,1350,10649,"60%","53.7%","60.9%","7.2%"
7,"61951.5 to 174203",61951.5,174203,112956.026276862,2001,327,1674,"16.3%",14000,1677,12323,"70%","66.8%","70.5%","3.7%"
8,"174239 to 391050",174239,391050,268738.66608,2000,282,1718,"14.1%",16000,1959,14041,"80%","78.0%","80.3%","2.3%"
9,"391231 to 692835",391231,692835,543684.687843922,1999,306,1693,"15.3%",17999,2265,15734,"90%","90.2%","90.0%","0.2%"
10,"692846 to 999854",692846,999854,843403.917286357,2001,247,1754,"12.3%",20000,2512,17488,"100%","100.0%","100.0%","0.0%"
