deciles,range,min_,max_,avg_,cnt,cnt_resp,cnt_non_resp,prob,cum_tot,cum_resp,cum_non_resp,cum_tot_pct,cum_resp_pct,cum_non_resp_pct,ks,ln odds
4,0 to 0,0,0,0,6188,487,5701,7.90%,6188,487,5701,30.90%,19.40%,32.60%,13.20%,-2.456012184
8,1 to 1,1,1,1,9734,1265,8469,13.00%,15922,1752,14170,79.60%,69.70%,81.00%,11.30%,-1.900958761
10,2 to 2,2,2,2,4078,760,3318,18.60%,20000,2512,17488,100.00%,100.00%,100.00%,0.00%,-1.476213692
