deciles,range,min_,max_,avg_,cnt,cnt_resp,cnt_non_resp,prob,cum_tot,cum_resp,cum_non_resp,cum_tot_pct,cum_resp_pct,cum_non_resp_pct,ks,ln odds
5,0 to 23830,0,23830,2564.855486,9999,1042,8957,10.40%,9999,1042,8957,50%,41.50%,51.20%,9.70%,-2.153549514
6,23840 to 43760,23840,43760,33700.57971,2001,227,1774,11.30%,12000,1269,10731,60%,50.50%,61.40%,10.90%,-2.060457164
7,43790 to 63120,43790,63120,53530.61061,1998,249,1749,12.50%,13998,1518,12480,70%,60.40%,71.40%,11.00%,-1.945910149
8,63160 to 82010,63160,82010,72440.0025,2001,310,1691,15.50%,15999,1828,14171,80%,72.80%,81.00%,8.20%,-1.69591151
9,82050 to 155490,82050,155490,92800.104,2000,297,1703,14.80%,17999,2125,15874,90%,84.60%,90.80%,6.20%,-1.750374253
10,156260 to 180580,156260,180580,180274.9425,2001,387,1614,19.30%,20000,2512,17488,100%,100.00%,100.00%,0.00%,-1.430633479
