"deciles","range","min_","max_","avg_","cnt","cnt_resp","cnt_non_resp","prob","cum_tot","cum_resp","cum_non_resp","cum_tot_pct","cum_resp_pct","cum_non_resp_pct","ks"
8,"0 to 0",0,0,0,15451,1706,13745,"11.0%",15451,1706,13745,"77.3%","67.9%","78.6%","10.7%"
10,"1 to 25",1,25,1.8102879753792,4549,806,3743,"17.7%",20000,2512,17488,"100.0%","100.0%","100.0%","0.0%"
