"deciles","range","min_","max_","avg_","cnt","cnt_resp","cnt_non_resp","prob","cum_tot","cum_resp","cum_non_resp","cum_tot_pct","cum_resp_pct","cum_non_resp_pct","ks"
5,"0 to 8605",0,8605,862.822828282828,9999,1003,8996,"10.0%",9999,1003,8996,"50%","39.9%","51.4%","11.5%"
6,"8645 to 15594",8645,15594,12181.3355655656,1998,314,1684,"15.7%",11997,1317,10680,"60%","52.4%","61.1%","8.7%"
7,"15605 to 22837.5",15605,22837.5,19211.5419271093,2003,323,1680,"16.1%",14000,1640,12360,"70%","65.3%","70.7%","5.4%"
8,"22840 to 36684.29",22840,36684.29,28837.4333366683,1999,228,1771,"11.4%",15999,1868,14131,"80%","74.4%","80.8%","6.4%"
9,"36710 to 67050",36710,67050,47709.736655,2000,310,1690,"15.5%",17999,2178,15821,"90%","86.7%","90.5%","3.8%"
10,"67064.29 to 537842.22",67064.29,537842.22,138599.536596702,2001,334,1667,"16.7%",20000,2512,17488,"100%","100.0%","100.0%","0.0%"
