"deciles","range","min_","max_","avg_","cnt","cnt_resp","cnt_non_resp","prob","cum_tot","cum_resp","cum_non_resp","cum_tot_pct","cum_resp_pct","cum_non_resp_pct","ks"
1,"0 to 0",0,0,0,1977,225,1752,"11.4%",1977,225,1752,"9.9%","9%","10%","1%"
10,"1 to 1",1,1,1,18023,2287,15736,"12.7%",20000,2512,17488,"100.0%","100%","100%","0%"
