"deciles","range","min_","max_","avg_","cnt","cnt_resp","cnt_non_resp","prob","cum_tot","cum_resp","cum_non_resp","cum_tot_pct","cum_resp_pct","cum_non_resp_pct","ks"
7,"0 to 0",0,0,0,13892,1438,12454,"10.4%",13892,1438,12454,"69.5%","57.2%","71.2%","14%"
10,"1 to 1",1,1,1,6108,1074,5034,"17.6%",20000,2512,17488,"100.0%","100.0%","100.0%","0%"
